tag,date,total_works,total_kudos,total_hits,total_words
Top Mel Medarda,2022-01-24,1,211,6101,810
Top Jinx (League of Legends),2022-01-24,1,429,16037,3924
Top Jayce (League of Legends),2022-01-24,17,29330,342084,77426
Top Ekko (League of Legends),2022-01-24,0,0,0,0
Top Caitlyn (League of Legends),2022-01-24,25,62434,952772,146992
Top Viktor (League of Legends),2022-01-23,15,13373,183015,55254
Top Vi (League of Legends),2022-01-23,16,19163,366666,96886
Top Vander (League of Legends),2022-01-23,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-23,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-23,8,2938,65429,39468
Top Mel Medarda,2022-01-23,1,211,6101,810
Top Jinx (League of Legends),2022-01-23,1,429,16037,3924
Top Jayce (League of Legends),2022-01-23,17,29330,342084,77426
Top Ekko (League of Legends),2022-01-23,0,0,0,0
Top Caitlyn (League of Legends),2022-01-23,23,60195,893490,105080
Top Viktor (League of Legends),2022-01-22,14,13316,178704,55198
Top Vi (League of Legends),2022-01-22,14,10237,228456,73728
Top Vander (League of Legends),2022-01-22,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-22,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-22,8,2938,65429,39468
Top Mel Medarda,2022-01-22,1,211,6101,810
Top Jinx (League of Legends),2022-01-22,1,429,16037,3924
Top Jayce (League of Legends),2022-01-22,17,29330,342084,77426
Top Ekko (League of Legends),2022-01-22,0,0,0,0
Top Caitlyn (League of Legends),2022-01-22,23,60195,893490,105080
Top Viktor (League of Legends),2022-01-21,14,13316,178704,55198
Top Vi (League of Legends),2022-01-21,14,10237,228456,73728
Top Vander (League of Legends),2022-01-21,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-21,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-21,8,2938,65429,39468
Top Mel Medarda,2022-01-21,1,211,6101,810
Top Jinx (League of Legends),2022-01-21,1,429,16037,3924
Top Jayce (League of Legends),2022-01-21,16,28033,326207,70987
